,avg_Segment_length,direct_distance,full_road_diversity,max_angle,max_pivot_off,mean_angle,mean_pivot_off,mean_road_diversity,median_angle,median_pivot_off,min_angle,min_pivot_off,num_l_turns,num_r_turns,num_straights,road_distance,safety,std_angle,std_pivot_off,test_duration,total_angle,uturns,test_id
0,18.97994097774578,35.03588527548057,68.4857524824275,342.59941753831265,326.5497624677043,28.839917691547512,57.11227126719076,8.560719060303438,-10.51877811169892,26.055258417861964,-51.66232188514155,0.0,1,5,2,151.83952782196624,FAIL,127.80258195021672,110.1618398992576,6.719334363937378,230.7193415323801,0,Town2\00531_test.json
1,36.75700844306001,48.541323512006784,723.4790439473817,211.94122378057304,83.28685928802511,46.35467830260627,32.00040925259811,180.86976098684545,-3.699675708551891,22.357388861183665,-19.1231591530442,0.0,1,2,1,147.02803377224004,FAIL,110.6471159083388,35.93276610717906,7.093451023101807,185.41871321042507,0,Town2\00530_test.json
2,35.23956382818987,66.8313374851755,881.0200734078935,-7.604638890995044,63.72148611500614,-53.495145926071984,39.74111941660653,220.25501835197335,-52.5595889935166,37.08526255046207,-101.25676682625968,21.07246645049584,0,4,0,140.9582553127595,FAIL,38.91198003212406,18.731608790499724,9.629029512405396,-213.98058370428797,0,Town2\00529_test.json
3,23.23802216281908,39.29692353016053,288.27213004541335,0.0,285.86309985569125,-28.51924751498207,60.60436272218404,41.18173286363048,-19.03609610933945,28.16462042918233,-110.82223127981857,0.0,0,6,1,162.66615513973358,PASS,37.00500953460279,99.90933123992166,4.287105560302734,-199.6347326048745,0,Town2\00528_test.json
4,24.350320148928542,38.86918299568802,197.31617701109576,301.78962247379536,36.15301767976607,34.980959806274456,17.764584109008837,32.88602950184929,-8.03098593626214,18.27558499365439,-60.20150150565645,0.0,1,3,2,146.10192089357125,FAIL,132.53307336307012,17.95875723755555,6.409993171691895,209.88575883764676,0,Town2\00527_test.json
5,19.3806516891669,41.30450251973289,529.4506637147205,38.69086515879376,69.96441704138692,-16.45848722004181,20.54337821852593,66.18133296434006,-3.3167682379904275,11.117226594878408,-143.83241398809008,0.0,1,3,4,155.0452135133352,FAIL,53.88907800457449,25.681294183548097,7.222918272018433,-131.66789776033448,0,Town2\00526_test.json
6,18.139170122279605,86.32104106948273,153.10907749795842,30.6666825823117,90.59616008194848,-4.705106197220228,45.4149196452256,17.01211972199538,-0.7941805189369706,33.50717018105926,-56.5970090005449,0.0,4,4,1,163.25253110051645,FAIL,29.211428925076188,29.8556003301696,7.4828948974609375,-42.345955774982045,0,Town2\00525_test.json
119,20.23561382522705,62.497742444198806,377.91094758298414,297.71449384585014,38.83596451128695,11.675780863313216,22.603429823769243,47.23886844787302,1.7206352937866267,24.90490834808157,-340.73559883348105,1.6332880443777116,4,4,0,161.88491060181642,FAIL,177.34942485385997,13.264190540470556,10.563039779663086,93.40624690650571,0,Town2\00412_test.json
126,19.38839740858276,60.85370122516176,140.84122422189387,17.041080647687473,192.185902483024,-16.344129275798792,52.90222068891955,17.605153027736733,-12.179462282111007,30.053275986196944,-62.81819181236859,0.0,2,5,1,155.1071792686621,FAIL,27.71631293414118,60.90370381158805,7.190731287002564,-130.7530342063903,0,Town2\00405_test.json
140,23.59617316936623,4.08100215848816,1006.9265667827189,256.3084581612248,78.45843290931924,17.447411099435882,37.3320447949533,125.86582084783986,-6.750316683059181,34.39143339495925,-85.81493952128595,0.0,2,5,1,188.76938535492985,PASS,100.79131813173515,24.42926539937497,0.3062477111816406,139.5792887954871,0,Town2\00391_test.json
145,36.76950628725072,34.857428297426345,1096.0957765403025,245.53644595366484,28.83127370593776,32.705875525311214,17.484916694469202,274.0239441350756,-7.308065971785397,20.554196535969524,-100.0968119088492,0.0,1,2,1,147.07802514900288,FAIL,148.7110194171452,12.340526501806265,7.493069887161255,130.82350210124486,0,Town2\00386_test.json
165,37.02424862267484,35.175170489873736,1112.015051595125,246.6622685558877,28.353283065146915,32.65854609872715,17.366612394610588,278.00376289878125,-7.526518155681689,20.55658325664772,-100.9750478496157,0.0,1,2,1,148.09699449069936,FAIL,149.55798054904278,12.192862984552256,7.648907899856567,130.6341843949086,0,Town2\00366_test.json
261,23.26631606555653,54.82861076383364,648.204360913756,90.34574114932916,81.45574510632089,-18.11342557915609,27.348151358401257,81.0255451142195,8.274755569803823,27.949336999435307,-347.5221930937803,0.0,5,1,2,186.13052852445225,PASS,136.63459884675288,27.888371569491667,16.54915738105774,-144.9074046332487,0,Town2\00270_test.json
262,23.469897828280995,67.61769658284649,643.1254293003186,141.7855875252054,98.71695448402411,10.686961952438727,33.09750994987185,91.87506132861697,0.0,26.34036362725081,-64.44900415563586,0.0,3,3,1,164.28928479796696,FAIL,64.41296073370674,30.72894982033281,10.576784372329712,74.8087336670711,0,Town2\00269_test.json
274,18.607446628547034,42.17078418195552,345.90496753850124,0.0,92.3757465622988,-26.08875223697281,31.07453804571989,49.41499536264303,-14.557881660997406,28.880988573001524,-109.50772015955084,0.0,0,5,2,130.25212639982925,FAIL,38.07281510828777,31.18430474967687,5.976033449172974,-182.62126565880965,0,Town2\00257_test.json
275,17.628588243346645,63.74567862475454,18.38468619749349,341.0736767096856,52.684257287101765,38.23379289409077,25.87647649117861,2.62638374249907,-10.736120211969512,24.210170507108643,-24.96183555649105,0.0,2,4,1,123.40011770342652,FAIL,133.98433039556463,20.21314855003181,6.633354425430298,267.63655025863534,0,Town2\00256_test.json
446,20.97059682342641,86.94278048110141,282.3665066550915,297.9582164818284,76.74305337517622,30.46839222800553,25.03945965234577,40.33807237929879,-6.575727468439089,22.906327966957907,-44.06124191840672,0.0,1,4,2,146.7941777639849,FAIL,118.90991741113903,27.02533113363312,10.15880560874939,213.27874559603876,0,Town2\00085_test.json
455,23.73383880142501,104.6241262941352,832.141748916489,331.14423707167657,47.78814196967233,34.236494727493806,18.40892065449224,138.6902914860815,-7.213829647198564,14.367167983488716,-95.61145406657988,0.0,1,3,2,142.40303280855005,FAIL,149.91982885747709,20.158774756135337,9.916666030883787,205.4189683649628,0,Town2\00076_test.json
516,19.085449888447293,52.730206071201415,430.7583589298284,41.632220324919416,53.00918780454156,-17.003644291484417,21.87571521496396,61.53690841854692,-3.481721066373162,20.736237723640485,-132.89096653604736,0.0,1,3,3,133.59814921913105,FAIL,54.26668266527688,22.99529806217525,6.560546159744263,-119.02551004039093,0,Town2\00015_test.json
525,21.893554805247035,47.23001050609595,639.8195975764079,0.0,52.10706544934002,-29.950398916422596,24.640842295343077,106.63659959606798,-11.625060425734462,25.849292740489403,-95.70548691525516,0.0,0,4,2,131.3613288314822,FAIL,38.5897027611602,21.910315490450287,6.696456909179688,-179.70239349853554,0,Town2\00006_test.json
